Site-Thai,Site,Unit,Layer/Level,Layer,positions,Material,age,sd,Lab Code,Half-life used
Tham Phii Maen,Spirit Cave,C1-C2,Surface?,1,100,Resin,3042,37,OxA-10271,Unknown
Tham Phii Maen,Spirit Cave,C1-C2,Surface?,1,100,Resin,2995,40,OxA-10272,Unknown
Tham Phii Maen,Spirit Cave,B2-B3,2,1,100,Charcoal,7397,150,FSU-317,Libby 5568 half-life
Tham Phii Maen,Spirit Cave,A-10,1,1,100,Dactyl,9839,30,Wk-40765,Libby 5568 half-life
Tham Phii Maen,Spirit Cave,A2-B2,2,2,200,Charcoal,7902,195,FSU-314,Libby 5568 half-life
Tham Phii Maen,Spirit Cave,A2-B2,2,2,200,Charcoal,8547,200,GaK-1846,Libby 5568 half-life
Tham Phii Maen,Spirit Cave,A2-B2,2,2,200,Charcoal,7907,198,BM-501,Libby 5568 half-life
Tham Phii Maen,Spirit Cave,?,2,2,200,Dactyl,9106,25,Wk-40766,Libby 5568 half-life
Tham Phii Maen,Spirit Cave,B2-B3,2a,2a,300,Charcoal,8265,135,TF-802,Libby 5568 half-life
Tham Phii Maen,Spirit Cave,B3-B4,2a,2a,300,Charcoal,8517,145,FSU-318,Libby 5568 half-life
Tham Phii Maen,Spirit Cave,?,2a,2a,300,Dactyl,8965,25,Wk-40768,Libby 5568 half-life
Tham Phii Maen,Spirit Cave,C2,3 (mixing),3 or 4,400,Charcoal,11346,280,FSU-315,Libby 5568 half-life
Tham Phii Maen,Spirit Cave,?,4,4,500,Dactyl,8551,25,Wk-40767,Libby 5568 half-life
Tham Phii Maen,Spirit Cave,B3,3,4,500,Charcoal,9810,300,TF-803,Libby 5568 half-life
Tham Phii Maen,Spirit Cave,C2 (North Wall),3,4,500,Charcoal,9073,112,BM-502,Libby 5568 half-life
Tham Phii Maen,Spirit Cave,B2-C2,5 (surface),4,500,Charcoal,9177,360,GaK-1845,Libby 5568 half-life
Tham Phii Maen,Spirit Cave,B2,5,4,500,Charcoal,10896,550,FSU-316,Libby 5568 half-life
Tham Phii Maen,Spirit Cave,B2 (N-W corner),5,4,500,Charcoal,9510,160,BM-503,Libby 5568 half-life
Tham Phii Maen,Spirit Cave,B2-C2 (Fire pit),5,4,500,Charcoal,9202,106,BM-504,Libby 5568 half-life
Tham Phaa Can,Steep Cliff Cave,F3,2,2,200,Charcoal,8300,30,UGAMS-29455,Libby 5568 half-life
Tham Phaa Can,Steep Cliff Cave,G3,2,2,200,Bivalve,9800,30,UGAMS-29448,Libby 5568 half-life
Tham Phaa Can,Steep Cliff Cave,D3,2,2,200,Bone,7460,30,UGAMS-29451,Libby 5568 half-life
Tham Phaa Can,Steep Cliff Cave,G3,2,2,200,Bone,8180,30,UGAMS-29452,Libby 5568 half-life
Tham Phaa Can,Steep Cliff Cave,E3,3,3,300,Charcoal,7497,160,GaK-4531,Libby 5568 half-life
Tham Phaa Can,Steep Cliff Cave,E2,4,4,400,Charcoal,5178,110,GaK-4530,Libby 5568 half-life
Tham Phaa Can,Steep Cliff Cave,G3,4,4,400,Charcoal,9960,30,UGAMS-29456,Libby 5568 half-life
Tham Phaa Can,Steep Cliff Cave,E2,4,4,400,Seed,9140,30,UGAMS-29447,Libby 5568 half-life
Tham Phaa Can,Steep Cliff Cave,G2,4,4,400,Bivalve,10510,30,UGAMS-29449,Libby 5568 half-life
Tham Phaa Can,Steep Cliff Cave,G3,4,4,400,Bone,8100,30,UGAMS-29453,Libby 5568 half-life
Tham Phaa Can,Steep Cliff Cave,F3,5,5,500,Bivalve,11160,30,UGAMS-29450,Libby 5568 half-life
Tham Phaa Can,Steep Cliff Cave,F3,5,5,500,Bone,9020,30,UGAMS-29454,Libby 5568 half-life
Tham Boong Hoong,Banyan Valley Cave,F4,1,1,100,Charcoal,930,80,GaK-4340,Libby 5568 half-life
Tham Boong Hoong,Banyan Valley Cave,E5-F5,2,2,200,Charcoal,3970,25,UGAMS-29437,Libby 5568 half-life
Tham Boong Hoong,Banyan Valley Cave,F5,2,2,200,Bivalve,7300,30,UGAMS-29440,Libby 5568 half-life
Tham Boong Hoong,Banyan Valley Cave,E5-F5,2,2,200,Bone,2850,25,UGAMS-29443,Libby 5568 half-life
Tham Boong Hoong,Banyan Valley Cave,D4,3,3,300,Charcoal,5358,120,GaK-4341,Libby 5568 half-life
Tham Boong Hoong,Banyan Valley Cave,D5,3,3,300,Charcoal,4060,25,UGAMS-29438,Libby 5568 half-life
Tham Boong Hoong,Banyan Valley Cave,F5,3,3,300,Bone,6180,30,UGAMS-29444,Libby 5568 half-life
Tham Boong Hoong,Banyan Valley Cave,F5,3 (Hearth on 4),4,400,Bone,5900,25,UGAMS-29445,Libby 5568 half-life
Tham Boong Hoong,Banyan Valley Cave,F5,3 (Material from hearth on 4),4,400,Bivalve,7540,30,UGAMS-29441,Libby 5568 half-life
Tham Boong Hoong,Banyan Valley Cave,D4-E4,5,5,500,Seed,4620,25,UGAMS-29439,Libby 5568 half-life
Tham Boong Hoong,Banyan Valley Cave,E5-F5,7,7,600,Bivalve,10680,30,UGAMS-29442,Libby 5568 half-life
Tham Boong Hoong,Banyan Valley Cave,E5-F5,7,7,600,Bone,9270,30,UGAMS-29446,Libby 5568 half-life
Non Nok Tha,Partridge Mound,3F,VIII firepit,LP3,10,Charcoal,500,85,GX-1609,Libby 5568 half-life
Non Nok Tha,Partridge Mound,D7,9,LP2,20,Charcoal,2220,110,GaK-958,Libby 5568 half-life
Non Nok Tha,Partridge Mound,C5,9,LP2,20,Charcoal,2850,140,Gak-1026,Libby 5568 half-life
Non Nok Tha,Partridge Mound,D6 SE,9,LP2,20,Charcoal,2480,80,GaK-1027,Libby 5568 half-life
Non Nok Tha,Partridge Mound,C7,11,LP1,30,Charcoal,2560,100,GaK-1028,Libby 5568 half-life
Non Nok Tha,Partridge Mound,E5,13,MP8,40,Charcoal,1720,80,GaK-957,Libby 5568 half-life
Non Nok Tha,Partridge Mound,4H,VII,MP6,50,Bone collagen,2564,30,OxA-X-2586-20,Libby 5568 half-life
Non Nok Tha,Partridge Mound,4F,VII,MP6,50,Bone collagen,2414,27,OxA-30391,Libby 5568 half-life
Non Nok Tha,Partridge Mound,2E/3E,VI,MP5,60,Charcoal,3090,120,Y-2485,Libby 5568 half-life
Non Nok Tha,Partridge Mound,4F,VI,MP5,60,Bone collagen,2566,27,OxA-30394,Libby 5568 half-life
Non Nok Tha,Partridge Mound,3F,Layer 6U,MP4/5,70,Pottery sherd organic,3065,70,OxA-2393,Libby 5568 half-life
Non Nok Tha,Partridge Mound,C4,17 (or 17-18),MP4/5,70,Charcoal,2990,110,GaK-1033,Libby 5568 half-life
Non Nok Tha,Partridge Mound,E5,17,MP4,80,Charcoal,2830,100,GaK-1029,Libby 5568 half-life
Non Nok Tha,Partridge Mound,G4,17-18,MP4,80,Charcoal,3170,200,Y-1851,Libby 5568 half-life
Non Nok Tha,Partridge Mound,4H,V (Layer 6B pit),MP4,80,Charcoal,3685,110,GX-1611,Libby 5568 half-life
Non Nok Tha,Partridge Mound,4F/E,Layer 6B pit,MP4,80,Pottery sherd organic,3285,80,OxA-2390,Libby 5568 half-life
Non Nok Tha,Partridge Mound,4H/E,Layer 6B,MP4,80,Pottery sherd organic,3065,70,OxA-2392,Libby 5568 half-life
Non Nok Tha,Partridge Mound,2E,V,MP4,80,Bone collagen,2570,27,OxA-X-2586-15,Libby 5568 half-life
Non Nok Tha,Partridge Mound,3E,V,MP4,80,Bone collagen,2505,31,OxA-X-2586-16,Libby 5568 half-life
Non Nok Tha,Partridge Mound,4D,V,MP4,80,Bone collagen,2473,27,OxA-30393,Libby 5568 half-life
Non Nok Tha,Partridge Mound,1F/2F ,V,MP4,80,Bone collagen,2536,28,OxA-30395,Libby 5568 half-life
Non Nok Tha,Partridge Mound,D5,19,MP3,90,Charcoal,4120,90,GaK-956,Libby 5568 half-life
Non Nok Tha,Partridge Mound,E5,19,MP3,90,Charcoal,4155,200,TF-651,Libby 5568 half-life
Non Nok Tha,Partridge Mound,C4,18,MP3,90,Charcoal,2530,120,GaK-1031,Libby 5568 half-life
Non Nok Tha,Partridge Mound,2F,V,MP3,90,Bone collagen,2669,27,OxA-X-2524-20,Libby 5568 half-life
Non Nok Tha,Partridge Mound,D6 NW,9,MP2,100,Charcoal,710,90,GaK-908,Libby 5568 half-life
Non Nok Tha,Partridge Mound,D7,20,MP2,100,Charcoal,8100,250,GaK-1032,Libby 5568 half-life
Non Nok Tha,Partridge Mound,3F,I,MP2,100,Bone collagen,2717,25,OxA-X-2524-21,Libby 5568 half-life
Non Nok Tha,Partridge Mound,2E,Layer 6X,MP1/4,110,Pottery sherd organic,1320,100,OxA-2391,Libby 5568 half-life
Non Nok Tha,Partridge Mound,2F,Layer 7,MP1,120,Pottery sherd organic,2880,80,OxA-2388,Libby 5568 half-life
Non Nok Tha,Partridge Mound,3F,Layer 7,MP1,120,Pottery sherd organic,2920,80,OxA-2389,Libby 5568 half-life
Non Nok Tha,Partridge Mound,4F SE,IV (Layer 7),MP1,120,Charcoal,2470,140,FSU-341,Libby 5568 half-life
Non Nok Tha,Partridge Mound,D4,21,EP3,130,Charcoal,5370,320,GaK-1034,Libby 5568 half-life
Non Nok Tha,Partridge Mound,1E NW,III (Layer 8U),EP3,130,Charcoal,3055,130,FSU-342,Libby 5568 half-life
Non Nok Tha,Partridge Mound,?,III,EP3,130,Bone collagen,2595,95,I-5324,Libby 5568 half-life
Non Nok Tha,Partridge Mound,2E,Layer 8U,EP3,130,Bone collagen,2794,88,AA-1322,Libby 5568 half-life
Non Nok Tha,Partridge Mound,4E/4F,Layer 8U,EP3,130,Bone collagen,1580,115,N-1326,Libby 5568 half-life
Non Nok Tha,Partridge Mound,2E,Layer 8U,EP3,130,Bone apatite,1820,220,N-1362,Libby 5568 half-life
Non Nok Tha,Partridge Mound,3E/4E,III,EP3,130,Bone collagen,2788,29,OxA-30644,Libby 5568 half-life
Non Nok Tha,Partridge Mound,1E,Layer 8,EP2/3,140,Pottery sherd organic,1300,80,OxA-2386,Libby 5568 half-life
Non Nok Tha,Partridge Mound,2F,Layer 8,EP2/3,140,Pottery sherd organic,2950,80,OxA-2387,Libby 5568 half-life
Non Nok Tha,Partridge Mound,C4,21,EP2,150,Charcoal,1860,140,GaK-959,Libby 5568 half-life
Non Nok Tha,Partridge Mound,3E,Layer 8L,EP2,150,Bone collagen,2440,125,N-1327,Libby 5568 half-life
Non Nok Tha,Partridge Mound,2E,Layer 8L,EP2,150,Bone collagen,2420,75,N-1328,Libby 5568 half-life
Non Nok Tha,Partridge Mound,0F,II,EP2,150,Bone collagen,2911,27,OxA-30360,Libby 5568 half-life
Non Nok Tha,Partridge Mound,3E,II,EP2,150,Bone collagen,2879,26,OxA-30361,Libby 5568 half-life
Non Nok Tha,Partridge Mound,1F/0F,II,EP2,150,Bone collagen,3059,28,OxA-30392,Libby 5568 half-life
Non Nok Tha,Partridge Mound,1F,V,EP2,150,Bone collagen,3028,28,OxA-30396,Libby 5568 half-life
Non Nok Tha,Partridge Mound,1F/2F,Layer 8X,EP1/2,160,Pottery sherd organic,1110,70,OxA-2385,Libby 5568 half-life
Non Nok Tha,Partridge Mound,4G,0 (Layer 11),EP1,170,Charcoal,4435,130,FSU-340,Libby 5568 half-life
Non Nok Tha,Partridge Mound,3E Middle,I (Layer 9),EP1,170,Charcoal,3560,130,FSU-345,Libby 5568 half-life
Non Nok Tha,Partridge Mound,4F SW,L pit (Layer 9),EP1,170,Wood charcoal,2750,130,GX-1612,Libby 5568 half-life
Non Nok Tha,Partridge Mound,4F SE,Layer 9 pit,EP1,170,Pottery sherd organic,3650,90,OxA-2383,Libby 5568 half-life
Non Nok Tha,Partridge Mound,4G,Layer 9,EP1,170,Pottery sherd organic,3250,100,OxA-2384,Libby 5568 half-life
Non Nok Tha,Partridge Mound,4H,Layer 9,EP1,170,Bone collagen,6660,90,AA-1321,Libby 5568 half-life
Non Nok Tha,Partridge Mound,2F,Layer 9,EP1,170,Bone apatite,1010,85,N-1324,Libby 5568 half-life
Non Nok Tha,Partridge Mound,4H,Layer 9,EP1,170,Bone collagen,2160,195,N-1325,Libby 5568 half-life
Non Nok Tha,Partridge Mound,3E/3F,I,EP1,170,Bone collagen,3146,30,OxA-X-2586-17,Libby 5568 half-life
Non Nok Tha,Partridge Mound,3E/3F,I,EP1,170,Bone collagen,3102,30,OxA-X-2586-19,Libby 5568 half-life
Non Nok Tha,Partridge Mound,6,4,-,100,Bone apatite,2390,20,UGAMS-33261,Libby 5568 half-life
Non Nok Tha,Partridge Mound,6,9,-,200,Bone collagen,2350,20,UGAMS-33262,Libby 5568 half-life
Non Nok Tha,Partridge Mound,6,9,-,200,Bone apatite,2820,20,UGAMS-33263,Libby 5568 half-life
Non Nok Tha,Partridge Mound,6,12,-,300,Bone apatite,2740,25,UGAMS-33264,Libby 5568 half-life
